Order_Date,Full_Date,Numeric_Date,Date_Uncertainty,Rel,Type,Size,Size_Val,Magnitude,Magnitude_Avg,Max_Intensity,Depth,Epi_X,Epi_Y,Region,Most_Damaged_Sites,Most_Damaged,MSRD_X,MSRD_Y,Tsunami,GII,Description,Historical_Reports,Ref,Evidence_Type,C_Damage,Max_Damage
219,1170 Jun 29 (0345),1170.00000000,-,Very High,FM,6,Major,"7 (MIG: Migowsky et al 2004); M > 7 (Ambraseys and Barazangi 1989); 6.6 (Hough & Avni, 2010); 7.9 (TUAR: Turcotte and Arieh 1988); 7.0 ? MS ? 7.8 (Ambraseys & Jackson, 1998); 7.5 (BM: Ben-Menahem 1991); M = ~ 7.5 (MGS)",7.30000000,NULL,NULL,NULL,NULL,N,Shaizar,Shaizar,36.56000000,35.25000000,0,1,Relatively large event (HOAV; AMJA; KA; AM; GC) at northern Syria that was felt to now day Iraq. Many of the localities that were hit in Previous events were not completely repaired when the earthquake struck.,"Contemporary: Will. Tyr. RHC Oce xviii/971–973; Lat. Old Fr; Purchas vii (trans. New York 1943); ii. 370–371); Mich. Syr. xix. 6/iii. 337–339; C. 370; C. 370; iv. 696; Mich. Syr. Arm. 332; C i. 370–377; Sibt ibn al-Jauzi 8/174; Chicago edn, 174; Ibn al-Athir B. xi. 355; Abu Shama, RHC. 150, 154; Kemal ad-Din, A iii. 572, R 143/332; Ibn al-Adim, Zubdat, 2/33; Rob. Tor. 220b/246; ii. 20; Benj. Tud. 49–50/31–32, 22/17; Abu’l Faraj, ch, 339/ii. 295–297; 
Secondary: Het’um, M 59; C. a. Arm. 619; II. i. 76; Mayer (1977, 338); Richard (1972); Ibn al-Shihnah S. 67/64 Nawadir; Ajami viii. 13a/9; 29b/24; Rey (1896, 376); Berchem (1902, 420); Hagenmayer (1890, 420); Alouf (1908, 61); Annales 5689; al-Umari, f. 78v.",AM; GC; KA; SAL; SAL2; AMJA; SDM; RAP; HOAV; MGS; SMS,Historical,32,5
222,1202 May 20 (0240),1202.00000000,-,Very High,MA,6,Major,"7.5 (MIG: Migowsky et al 2004); 7.5 (Ambraseys and Melvile 1988); 7.6 (Hough & Avni, 2010); 6.8 (BM: Ben-Menahem 1991);  8.8 (BM4: Ben-Menahem 1981); M > 7 (Ellenblum et al., 1998); 7.0 ? MS ?  7.8 (Ambraseys & Jackson, 1998); M > 7.5 (MGS)",7.50000000,NULL,NULL,NULL,NULL,C-N,Baalbek,Baalbeq,36.20000000,34.00000000,1,1,"Destructive earthquake in Lebanon, ground breakage north of the Hula pull apart (EMARB; MABBEE). Wide extent, casualties and many affected localities (AM; GC). KKW correlated rock falls with this earthquake at the north of Galilee.","Contemporary: Geoffrey of Donjon, in Mayer 1972, 306–308; Philippe de Plessis, in Mayer 1972, 308–310; Sal. Ad. 23; Amadi,
91f.; Annales 6447; Rob. Aux. 264; Abu’l-Faraj 351/407; Cogg. 141–142; Gestes Chypr. RHC 59/663; Ernoul, 31; Wilb. Old. xxvii/180/Excerpta 14; Ibn al-Athir, al-Kamil 12/110; Abu’l-
Fida al-Mukht. 262–270;
Secondary: MS Barletta, Kohler 1901, 42/401; Estoire 244–245; Fabri, i. 283b/ix. 350; Het’um Chron. 480; Het’um Pat. Het. Chron. ii. 61; (Alb. Mil. 654; Will. Nang; (Choniat Bonn 701; Abd
al-Latif, r.e. 262/414; Sibt ibn al-Jauzi, Mir’at 8/331; Ibn al-Dawadari, vii. 149–150; Ibn al-Jauzi, al-Mirat, 8/311;",AM; GC; KA; SAL; SAL2; AMME; AMJA; SDM; HOAV; DAKL2; AMM; MGS; KKW,Historical,42,5
233,1293 Jan 11–Feb 08,1293.00000000,1,High,S,4,Strong,6.6 (MIG: Migowsky et al 2004); Me = 5.8 (GC),6.20000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,"Was felt in the center-south of Palestine (Ramla, Ludd, Gaza, Qaqun, Tafilah) destroying many houses (AM, GC).",TODO,AM; GC; KA; SAL; KEN; AMM; GII,Historical,6,4
250,1408 Dec 29,1408.00000000,-,High,C,5,Strong-Major,M > 7.5 (MGS),7.50000000,NULL,NULL,NULL,NULL,N,Shughr-Bekas,Shughr-Bekas,36.28000000,35.85000000,1,1,The evidence of Ibn Hajar implies of ground breakage of nearly 20 km near Shughr (AM; GC). SAL2 also implies of associated tsunami; AAK and AMKA identified rupture in the Missayf segment,NULL,AM; GC; SAL; SAL2; AMJA; SDM; GII; MGS; AAK; AMKA,Historical & Paleoseimic/Archaeoseimic,8,4
253,1458 Nov 16,1458.00000000,-,High,S,4,Strong,6.5 (MIG); Me = 5.6 (GC); Mw = ~7 (KAD),6.50000000,NULL,NULL,NULL,NULL,S,Karak,Arava (A),35.26000000,30.70000000,0,1,Probably occurred in the Dead Sea area. Several contemporary writers (AM; GC and references therein). GC place the epicenter near Al-Karak (Jordan); KLA imply of the ruptures Arava fault,"Contemporary: Ibn Tagribirdi; al-Suyuti; 
Unknown; al-Ulaimi, 599-600; 415-418",AM; GC; KA; SAL; KAD; KLA,Historical,8,5
276,1546 Jan 14 (Afternoon),1546.00000000,-,Very High,MA,4,Strong,"M ~ 6 (Karcz 2004); 7 (TUAR); 6.1 (MIG); 7 (BM BM5, BM3);",6.50000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,1,1,"Moderate event affected central Palestine at the time. Occurred only 30 years after the ottoman conquest which probably affected the absence of Arabic sources mainly from Egypt and Syria (AM). The primary source is a venetian letter probably copied by the account published in Beinart (1955) resembles the venetian letter and might be merely a copy of it (SHAL; BRA). BM assign magnitude of 7.0 and epicentral intensity of X-XI b   apparently, it seems that the spread of damage and size of the earthquake was similar to that of the Jericho earthquake i.e., magnitude of 6 (AMKA). This is also attested by the silence of traveler’s narratives; had there been a larger event, it was surely recorded. HNA corelate an earthquake based on rupture in Qasr Tilah (but perhaps this is the 1834 earthquake).","Contemporary Sources: Anonymous 1546; mayer (1931)-the chronicle of Muhir al-din; Braslavski (1938) - manuscript of Sussman ben Rabbi Abraham Carit; Anonymous of Douai; Dominik de la Greche - Jerusalem view; Dominik de la Greche - the Church of the Holy Sepulchre; Voldrich 1563; Cohan (1982) - petition of the Franciscans of Mt. Zion; Castellani (1922) and Hussein et al. (1986) - documents of Custodia Terra santa; Heyd (1960) - Order for repair issued in Istanbul
Secondary sources: Beinart (1955); Braslavski (1939) - manuscript of Isaac Levi in 'OtNafshi'; Dositheos (1705); Papadopulos-Kermaus (1898); 
Undetermined: Razabi (1982) - Moshe Meali ode;",AM; KA; AM2; SAL; SAL2; AMKA; BM; SDM; SHAL; HNA,Historical & Paleoseimic/Archaeoseimic,23,4
318,1759 Oct 30 ( 03:45),1759.20000000,-,Very High,F/S,4,Strong,"Ms ~ 6.6 (Ambraseys & Barazangi, 1989); 6.5 (BM: Ben-Menahem 1991)",6.50000000,NULL,NULL,NULL,NULL,C-N,Safed,Safed,35.48000000,32.96000000,1,1,Strong shock in northern Israel-South Lebanon in the area confined with Safed-Tiberias-Benot Ya’akov bridge and Quneitra. AM: Probably a foreshock of the Nov 25 event. DAKL2 claim that this is not a foreshock but rather a separate event acting on the Rachaya segment,TODO,AM; KA; SAL; SAL2; AMBR; TMK; MAR2; SDM; EMARB; DAKL; DAKL2,Historical,27,5
319,1759 Nov 25 ( 19:23),1759.30000000,-,Very High,FMA,6,Major,"7.4 (MIG: Migowsky et al 2004); MS ~ 7.4 (Ambraseys & Barazangi, 1989);   Ms = 7.4 (Ambraseys & Jackson, 1998; Wells & Coppersmith, 1994); 7 ? M ? 7.2 (Gomez et al., 2003); 7.4 (BM: Ben-Menahem 1991); M = 7.4 (MGS)",7.30000000,NULL,NULL,NULL,NULL,C-N,Litany,Litani river (A),35.35000000,33.32000000,1,0,"A most destructive earthquake, many reporting sources. Possible epicentral area along the Litany river (AM). Had generated landslides, changes in water course and ground breakage. Many reporting sources",TODO,AM; SAL; SAL2; AMBR; AMJA; TMK; SDM; DAKL; ODON; KA; AMBR; MAR2; EMARB; DAKL; DAKL2; GOM; MGS,Historical,80,5
331,1796 Apr 26 (09:05),1796.00000000,-,High,MA,4,Strong,,NULL,NULL,NULL,NULL,NULL,N,Latakia,Latakia,35.77000000,35.51000000,0,1,destructive event at the north section of the DST along the coast of Lebanon,TODO,AM; SAL; AMJA; SDM; GII,Historical,8,4
356,1831 Feb 22,1831.00000000,-,High,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,N,Aleppo,Aleppo,37.15000000,36.21000000,0,0,NULL,TODO,AM;,Historical,6,4
357,1834 May 26 (13:00),1834.00000000,-,Very High,S,4,Strong,6.4 (MIG); 6.3 (BM),6.30000000,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,"Occurred during the Fellahin siege of Jerusalem (AM). The main source is Neofitus, a contemporary monk form Marsaba who witnessed the event and described in detail the earthquake and its effects (Spyridon, 1938). HNA corelate an earthquake based on rupture in Qasr Tilah (but perhaps this is the 1546 earthquake)","Neofitus (Spyridon, 1938)",AM; SAL; GII; KEN; AMM; HNA,Historical & Paleoseimic/Archaeoseimic,22,4
359,1837 Jan 01  (16:35),1837.00000000,-,Very High,MA,5,Strong-Major,"7.4 (MIG: Migowsky et al 2004); M > 7 (Ambraseys, 1997); MS = 7.4 (Wells & Coppersmith, 1994); Ms 7.1 (Nemer and Meghraoui 2006, after Ambraseys 1997); 6.7 (BM: Ben-Menahem 1991)",7.10000000,NULL,NULL,NULL,NULL,C-N,"Palestine, Syria",Lebanon (A),35.87000000,33.84000000,0,1,"Damaging event in southern Lebanon and northern Palestine at the time. The earthquake was felt also in central Israel and Nile Delta, Egypt. Contemporary reporting sources of survivors and aid delegations (e.g., Calman, 1837; Thomson, 1837; Ya'ari, 1943)",TODO,AM; SAL; AM3; NEM; AMJA; SDM; ODON; GII,Historical,140,5
490,1927 Jul 11 (15:04),1927.00000000,-,Very High,S,4,Strong,"6.25 (AVN; AVN2); 6.2 (BM2); 6.3 (MIG), Mw=6.3 (USGS)",6.25000000,NULL,15.00,35.50,31.80,C,"Nablus, Ramla",Nablus,35.25000000,32.21000000,0,1,Moderate event with series of aftershocks (SAL). About 300 hundred casualties.  Magnitude estimated  as ML = 6.2 with epicenter at the north of the Dead Sea (AVN; AVN2; ZOMA). USGS: Epi at the Dead Sea region,List of references appear in AVN,AVN; AVN2; SAL; SAL2; ZOMA; AAT; BM2; VEST; SHA; KEN; AMM; USGS (iscgem); GII,Historical,142,4
