Order_Date,Full_Date,Numeric_Date,Date_Uncertainty,Rel,Type,Size,Size_Val,Magnitude,Magnitude_Avg,Max_Intensity,Depth,Epi_X,Epi_Y,Region,Most_Damaged_Sites,Most_Damaged,MSRD_X,MSRD_Y,Tsunami,GII,Description,Historical_Reports,Ref,Evidence_Type
29,92 Feb 28 BCE,-92.00000000,-,Doubtful,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C,Jerusalem (?),Tiberias - Southern Gate,29.75160000,33.67970000,0,1,"KA2: BM places earthquake of 7.1, relaying on PLKO that do not quote a reference but probably use SI and WI. WI uses MA that uses VH. The later author do not mentions any of his sources and responsible for the confusion. WE2 found an evidence of event between 392 B.C.E.–91 C.E. and imply of possible association. ",NULL,AM; KA2; SAL2; BM; PLKO; SI; WI; MA; VH; GII; WE2,Historical
29,92 Feb 28 BCE,-92.00000000,-,Doubtful,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C,Jerusalem (?),Jerusalem,35.23371042,31.77430227,0,1,"KA2: BM places earthquake of 7.1, relaying on PLKO that do not quote a reference but probably use SI and WI. WI uses MA that uses VH. The later author do not mentions any of his sources and responsible for the confusion. WE2 found an evidence of event between 392 B.C.E.–91 C.E. and imply of possible association. ",NULL,AM; KA2; SAL2; BM; PLKO; SI; WI; MA; VH; GII; WE2,Historical
32,44-32 BCE,-44.00000000,6,Doubtful,S,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,C,Salamis (Cyprus),Cyprus (A),33.10000000,34.98000000,0,0,No contemporary sources (including the near contemporaneous Josephus that remains silent). AM: This is probably a duplication of the 15 BCE Cyprus earthquake in which the convention Salamis/Diospolis (now days Lod) was confused with Salamis in Cyprus.,NULL,AM;,Historical
37,19,19.00000000,-,Doubtful,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,C-N,"Sidon, Syria",Sidon,35.37000000,33.56000000,0,1,"The reference in SBE relies upon BM, PLKO and SI who in turn, do not cite their  historical sources",No historical references,SDM; PLKO; SI; BM; GII,Historical
38,33,33.00000000,1,Poor,S,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,C,Jerusalem,Jerusalem,35.23371042,31.77430227,0,1,"Matthew reports of two earthquakes during the crucifixion and resurrection of Jesus.  Though contemporaneous, his testimony is strongly doubted and associated with theological interests. The secondary sources, Eusebius and Orosius, use Matthew and mix its report with sun eclipse and an earthquake occurred in Bithynia (KA). Paleoseismic findings (MIG; KEN; WILL) suggest that an event had occurred close to this date. However, it could have been rather a small event (M >= 5.5) that left sedimentary evidence but without any meaningful damage to habituated sites. WE2 found an evidence of event between 392 B.C.E.–91 C.E. and imply of possible association. ","Contemporary: Matt. Xxvii. 45, 51-53; Matt. Xxviii. 1-3;
Secondary:  Eus. Hist. 148, apud Phleg. Xv/607; Hieronim.Hist.175; Geog. Mon. 232/376; Oros. VII. Iv.13; Oros. VII.iv. 18",AM; KA; AM2; AMM; GII; WE2,Historical
38,33,33.00000000,1,Poor,S,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,C,Jerusalem,Tiberias - Southern Gate,29.75160000,33.67970000,0,1,"Matthew reports of two earthquakes during the crucifixion and resurrection of Jesus.  Though contemporaneous, his testimony is strongly doubted and associated with theological interests. The secondary sources, Eusebius and Orosius, use Matthew and mix its report with sun eclipse and an earthquake occurred in Bithynia (KA). Paleoseismic findings (MIG; KEN; WILL) suggest that an event had occurred close to this date. However, it could have been rather a small event (M >= 5.5) that left sedimentary evidence but without any meaningful damage to habituated sites. WE2 found an evidence of event between 392 B.C.E.–91 C.E. and imply of possible association. ","Contemporary: Matt. Xxvii. 45, 51-53; Matt. Xxviii. 1-3;
Secondary:  Eus. Hist. 148, apud Phleg. Xv/607; Hieronim.Hist.175; Geog. Mon. 232/376; Oros. VII. Iv.13; Oros. VII.iv. 18",AM; KA; AM2; AMM; GII; WE2,Historical
42,2nd century (c.110-114?),110.00000000,5,Poor,S,4,Strong,NULL,NULL,NULL,NULL,NULL,NULL,S,"Petra, Masada, Avadt",Masada,35.35000000,31.31000000,0,0,"AM questionably refers to an event between c.110-114. Other scholars (e.g., KOMA; NEG) imply of possible damage to structures in the ancient Negev cities. However they rely only on archaeological excavations that imply possible damage but not necessarily from an earthquake.",No historical records; only Archaeological,AM; KOMA; NEG;,Paleoseismic & Archaeoseismic
51,233,233.00000000,10,Poor,S,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,C-N,Tadmur (Palmira),Tadmur,38.27000000,34.54000000,0,0,"In AM, 136 there is a reference to fragmentary inscription in Tadmur (Palmira), eastern Syria that might (but not necessarily) indicate of an earthquake. AM doubtfully links this inscription with an event mentioned in the Talmud at Tadmur and claims it was probably the siege and capture of the city by Aurelianus in 273.",Secondary: Yabamoth (17a);,AM; GC; SDM;,Historical
59,c.388,388.00000000,10,Poor,S,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,EAS,Constantinople,Istanbul,28.96000000,41.02000000,0,0,"AM: There are 3 references of John Chrysostom for occurrence of an earthquake. Two of them are not decisive and the third imply of an earthquake that lasted for 3 days. Orosius (Contemporary) and Marcelinus Comes (5th-6th) report of an event that struck the vicinity of Constantinople in c.395.  Since the nature of Chrysostom’s writing is preaching along with the fact that he was living in Constantinople, he might have used this event for his own interests and apply damage also in Antakya. Thus, the evidence of Orosius is more acceptable (this is also supported by GCT).","Contemporary: Oros. III. Iii. 2 ; Ioann. Chrys. Hom. Stat. iii/57; Ioann. Chrys. S. Bab. Ii. 21-22/567; Ioann. Chrys. Terr. Mot.i/1027; Ioann. Chrys. In Ep.Colors I.ii.4/315; Secondary: Marc. Com. A. 396/64, PL 920",AM;,Historical
62,c.431 Apr 7,431.00000000,?,Poor,MA,2,Moderate,NULL,NULL,NULL,NULL,NULL,NULL,N,"Asia Minor, northern Syria",Apamea,36.39000000,35.41000000,0,0,"The only source is Michael the Syrian which relies upon unknown Byzantine and Syrian sources. AM: If the event had actually occurred, its location would be either in Asia Minor or northern Syria.",Secondary: Mich. Syr. Viii. 5/ii. 22,AM;,Historical
