Order_Date,Full_Date,Numeric_Date,Date_Uncertainty,Rel,Type,Size,Size_Val,Magnitude,Magnitude_Avg,Max_Intensity,Depth,Epi_X,Epi_Y,Region,Most_Damaged_Sites,Most_Damaged,MSRD_X,MSRD_Y,Tsunami,GII,Description,Historical_Reports,Ref,Evidence_Type
210,1158  < Jul 1,1158.40000000,?,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C-N,"Aleppo, Hama",Aleppo,37.15000000,36.21000000,0,0,Ibn al-Qalanisi based upon news he heard from northern Syria,Contemporary: Ibn al-Qalanisi.,AM; SDM;,Historical
213,1158 Oct-1159 Sep,1158.70000000,1,Doubtful,MA,4,Strong,,NULL,NULL,NULL,NULL,NULL,C-N,Jabalah,Jabalah,35.92000000,35.35000000,0,0,"According to Ambraseys 2009, this is a duplicated event from the one in August","Contemporary: Chron 1234, ii. 158/119",AM;,Historical
217,1160,1160.00000000,NULL,Doubtful,U,2,Moderate,,NULL,NULL,NULL,NULL,NULL,S,Palestine,Palestine (A),35.20000000,32.39000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
220,1181 Feb 25,1181.00000000,-,Poor,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,N,"Aleppo
Only 1 secondary sources",Aleppo,37.15000000,36.21000000,0,1,"AM, KA: Based upon al-Suyuti, 15th century writer. GII refer to 1182",Secondary: al-Suyuti,AM; KA;,Historical
221,1201 Jun 2,1201.00000000,-,Doubtful,U,5,Strong-Major,,NULL,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
226,1261 Oct 1 - 1262 Sep 30,1261.00000000,1,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,N,Syria,Syria (A),37.03000000,34.93000000,0,1,GC:  following the report of Elias of Nisibis,TODO,GC;,Historical
227,1261,1261.20000000,1,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Akko,Akko,35.07000000,32.92000000,0,0,Seven islets sank off the coast of Akko but without specifically mentioning an earthquake (AM).,"Secondary: Ajami, viii. 13b/9",AM; SAL2;,Historical
228,1267 Dec 8,1267.00000000,-,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Jordan River,Jordan River (A),35.53000000,31.82000000,0,0,"AM following WAT: an alleged evidence of landslide that dammed the Jordan river. The event is also mentioned by al-Maqziri, secondary source",Secondary: Makziri,AM;,Historical
235,1306-1307,1306.00000000,1,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C-N,Barin,Barin,36.41000000,34.93000000,0,0,No reference of earthquake but landslide (AM),"TODO: Ajami, Nihaya MS 3/1/155-158",AM;,Historical
236,1312 May 1,1312.00000000,-,Doubtful,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,SG,NULL,Suez,32.54000000,29.97000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
237,1319,1319.00000000,1,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,AM: vague damage with no reference of earthquake,"TODO: al-Dimashqi, Nukhbat 85",AM;,Historical
238,1322 Feb (night),1322.00000000,-,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C-N,Damascus,Damascus,36.29000000,33.51000000,0,1,"AM, GC: report of al-Suyuti. No other supportive evidence","Secondary: al-Suyuti, 103/38",AM; GC; GII,Historical
239,1323,1323.00000000,1,Poor,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,C-N,Syria,Syria (A),37.03000000,34.93000000,0,0,AM: report al-Dimashqi: ‘the springs burst forth’. No other supportive evidence,TODO: al-Dimashqi,AM;,Historical
242,1354 Oct 28,1354.00000000,-,Poor,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,C-N,"Homs, Baalbeq",Baalbeq,36.20000000,34.00000000,0,0,According to al-Umari (died 1811) with no other supportive references (AM),TODO,AM; KA;,Historical
243,1366 Oct,1366.00000000,-,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Safed,Safed,35.48000000,32.96000000,0,1,"AM, GC: According to a vague report of the secondary al-Imad",TODO,AM; GC; GII,Historical
244,1375,1375.00000000,1,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,N,Halleb (Aleppo),Aleppo,37.15000000,36.21000000,0,1,According to al-Umari. no other supportive references (AM). GII refer to 1374,Contemporary: al-Umari,AM; KA;,Historical
254,1459,1459.00000000,-,Doubtful,U,2,Moderate,,NULL,NULL,NULL,NULL,NULL,S,Dead Sea,Dead Sea East (A),35.57000000,31.62000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
255,1476 Oct 29,1476.00000000,-,Doubtful,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C-N,Lebanon,Lebanon (A),35.87000000,33.84000000,0,0,No specific reference in AM,NULL,AM;,Historical
258,1491 Apr 25,1491.00000000,-,Doubtful,U,4,Strong,,NULL,NULL,NULL,NULL,NULL,C-N,South Lebanon,Lebanon (A),35.87000000,33.84000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
259,1504,1504.00000000,1,Poor,C,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Jerusalem,Jerusalem,35.23371042,31.77430227,0,0,AM: based upon al-Umari. Needs further examination,"Secondary sources: al-Umari, f.177r",AM;,Historical
259,1504,1504.00000000,1,Poor,C,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Jerusalem,Tiberias - Southern Gate,29.75160000,33.67970000,0,0,AM: based upon al-Umari. Needs further examination,"Secondary sources: al-Umari, f.177r",AM;,Historical
269,1532,1532.00000000,1,Doubtful,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Beit Lehem,Bet-Lehem,35.19000000,31.69000000,0,0,AM: Based upon unknown source. Further verification is needed,Secondary sources: possot (1890),AM;,Historical
271,1537,1537.00000000,1,Poor,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,AM: based upon al-Umari. Needs further examination,Secondary: al-Umari,AM; SAL; SDM;,Historical
272,1541,1541.00000000,1,Doubtful,U,1,Light,,4.50000000,NULL,NULL,NULL,NULL,S,Red Sea,Aqaba,35.00000000,29.52000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
277,1557 Feb,1557.00000000,-,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Jerusalem,Jerusalem,35.23371042,31.77430227,0,0,AM: vague report of an earthquake in Jerusalem,TODO,AM; SAL;,Historical
277,1557 Feb,1557.00000000,-,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Jerusalem,Tiberias - Southern Gate,29.75160000,33.67970000,0,0,AM: vague report of an earthquake in Jerusalem,TODO,AM; SAL;,Historical
283,1605 Jan 08,1605.00000000,-,Doubtful,C,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,St. Saba,Deir Mar-Saba,35.33000000,31.70000000,0,1,Questionable report (AM; KA),TODO,AM; KA; GII,Historical
286,1616 Jul 22,1616.00000000,-,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,N,Aleppo,Aleppo,37.15000000,36.21000000,0,0,NULL,TODO,AM; SDM;,Historical
291,1630,1630.00000000,1,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C-N,Syria,Syria (A),37.03000000,34.93000000,0,0,NULL,TODO,AM;,Historical
293,1644,1644.00000000,1,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Jerusalem,Tiberias - Southern Gate,29.75160000,33.67970000,0,0,"AM: Probably duplicated from the 1643, March 23 event","Secondary sources: al-Umari, f.212r",AM;,Historical
293,1644,1644.00000000,1,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C,Jerusalem,Jerusalem,35.23371042,31.77430227,0,0,"AM: Probably duplicated from the 1643, March 23 event","Secondary sources: al-Umari, f.212r",AM;,Historical
294,1647,1647.00000000,1,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C-N,Damascus,Damascus,36.29000000,33.51000000,0,0,NULL,TODO: Ibn Juma,AM;,Historical
295,1657,1657.00000000,1,Poor,C,1,Light,,4.50000000,NULL,NULL,NULL,NULL,N,Aleppo,Aleppo,37.15000000,36.21000000,0,1,GII refer to 1656,"TODO: Besson 1660, 207",AM; SDM; GII,Historical
296,1661,1661.00000000,1,Poor,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,C-N,Shaizar,Shaizar,36.56000000,35.25000000,0,0,NULL,TODO: al-Umari,AM;,Historical
297,1672 Apr 29,1672.00000000,-,Doubtful,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C-N,Damascus,Damascus,36.29000000,33.51000000,0,0,meteorite fall,TODO: Ibn Juma,AM; KA;,Historical
298,1680 Mar 22,1680.00000000,-,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,N,Aleppo,Aleppo,37.15000000,36.21000000,0,0,Slight Shocks,"TODO: d'Arvieeux 1735, v. 563",AM; SDM;,Historical
299,1701,1701.00000000,1,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,N,Aleppo,Aleppo,37.15000000,36.21000000,0,0,NULL,TODO: Panzak 1985,AM;,Historical
305,1719 Mar,1719.00000000,-,Poor,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,N,Aleppo,Aleppo,37.15000000,36.21000000,0,0,NULL,TODO,AM; SAL; SDM;,Historical
311,1726 Apr 15,1726.00000000,-,Poor,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,N,"Jum, Harim",Harim,36.51000000,36.20000000,0,0,"Was also perceptible in Famagusta, Cyprus",TODO,AM; SAL; SDM,Historical
312,1735 Nov 27 (dawn),1735.00000000,-,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C-N,Damascus,Damascus,36.29000000,33.51000000,0,1,NULL,TODO; al-Imadi,AM; GII,Historical
314,1746 Jul 05,1746.00000000,-,Poor,C,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C-N,Damascus,Damascus,36.29000000,33.51000000,0,1,NULL,TODO: al-Muradi; Taher 1977,AM; GII,Historical
315,1752 Jul 21,1752.00000000,-,Doubtful,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,C-N,Tripoli,Tripoli,35.83000000,34.43000000,0,0,NULL,TODO,AM; SAL2;,Historical
321,1761 Apr 9,1761.00000000,-,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,C-N,Damascus,Damascus,36.29000000,33.51000000,0,0,NULL,TODO:Secondary: al-Bidiri,AM;,Historical
322,1762,1762.00000000,1,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Akko,Akko,35.07000000,32.92000000,0,0,AM: sole report with no other supportive evidence,"TODO: Historischer Bilder-sall 1762, part 15",AM;,Historical
323,1765,1765.00000000,1,Poor,C,2,Moderate,,NULL,NULL,NULL,NULL,NULL,N,Aleppo,Aleppo,37.15000000,36.21000000,0,0,NULL,TODO,AM; SDM;,Historical
324,1769,1769.00000000,NULL,Doubtful,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,C,Palestine,Palestine (A),35.20000000,32.39000000,0,0,AM: probably wrong entry of ARV,TODO,AM; ARV,Historical
332,1801 Oct 10,1801.00000000,-,Poor,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,SG,Gulf of Suez,Suez,32.54000000,29.97000000,0,0,"AM: felt in Cairo. There are no other evidence of an earthquake; had it occurred, it probably originated from the Gulf of Suez",NULL,AM,Historical
333,1802,1802.00000000,1,Poor,S,2,Moderate,,NULL,NULL,NULL,NULL,NULL,N,Aleppo,Aleppo,37.15000000,36.21000000,0,1,The claim that is event was felt also in Palestine is rejected by AM. Suggests that these reports are associated with the 1822 event,TODO al-Gahazi Nahr,AM; KA; SDM; GII,Historical
363,1838,1838.00000000,NULL,Doubtful,S,4,Strong,,NULL,NULL,NULL,NULL,NULL,C,Judea,Judea (A),35.35000000,32.08000000,0,0,Wrong entry in ARV has led to duplication of the 1838 Cyprus event,NULL,AM;,Historical
366,1843 May 12,1843.00000000,-,Poor,S,1,Light,,NULL,NULL,NULL,NULL,NULL,C,Jerusalem,Tiberias - Southern Gate,29.75160000,33.67970000,0,0,AM: Appears in TOB but need further authentication,TODO,AM; TOB,Historical
366,1843 May 12,1843.00000000,-,Poor,S,1,Light,,NULL,NULL,NULL,NULL,NULL,C,Jerusalem,Jerusalem,35.23371042,31.77430227,0,0,AM: Appears in TOB but need further authentication,TODO,AM; TOB,Historical
368,1844-1845,1844.40000000,1,Poor,C,1,Light,,NULL,NULL,NULL,NULL,NULL,C,Jerusalem,Jerusalem,35.23371042,31.77430227,0,0,AM: cited in AMI without supporting source,TODO,AM; AMI,Historical
368,1844-1845,1844.40000000,1,Poor,C,1,Light,,NULL,NULL,NULL,NULL,NULL,C,Jerusalem,Tiberias - Southern Gate,29.75160000,33.67970000,0,0,AM: cited in AMI without supporting source,TODO,AM; AMI,Historical
374,1848 Apr 26,1848.00000000,-,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Dead Sea,Dead Sea East (A),35.57000000,31.62000000,0,0,"Reports only in the Dead Sea onboard a boat. The reporter also mentions rock fall from cliffs 9 hours later. No other reports and the fact that he was on a boat, might cause some confusion (AM)",Contemporary/Scientific: Lynch 1852,AM;,Historical
379,1853 May 19,1853.00000000,NULL,Doubtful,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C-N,Damascus,Damascus,36.29000000,33.51000000,0,0,NULL,TODO,AM;,Historical
382,1854,1854.20000000,-,Doubtful,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,N,Antioch,Antakya,36.16000000,36.20000000,0,0,NULL,NULL,AM; SDM;,Historical
399,1857 Sep 21,1857.20000000,-,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Jerusalem,Tiberias - Southern Gate,29.75160000,33.67970000,0,0,AM: cited in AMI without supporting source,TODO: Amiran 1951,AM; AMI,Historical
399,1857 Sep 21,1857.20000000,-,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Jerusalem,Jerusalem,35.23371042,31.77430227,0,0,AM: cited in AMI without supporting source,TODO: Amiran 1951,AM; AMI,Historical
435,1876 Nov 21 (01:00),1876.00000000,-,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Nazaret,Nazareth,35.29000000,32.70000000,0,0,AM: cited in AMI without supporting source,Amiran 1994 – according to notebook of the Meteorological service of Israel,AM; AMI,Historical
444,1885 Mar 13 (11:00),1885.00000000,v,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Jerusalem,Jerusalem,35.23371042,31.77430227,0,0,AM: cited in AMI without supporting source,Amiran 1994 – according to notebook of the Meteorological service of Israel,AM; AMI,Historical
444,1885 Mar 13 (11:00),1885.00000000,v,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C,Jerusalem,Tiberias - Southern Gate,29.75160000,33.67970000,0,0,AM: cited in AMI without supporting source,Amiran 1994 – according to notebook of the Meteorological service of Israel,AM; AMI,Historical
453,1896 May 2,1896.00000000,-,Doubtful,U,2,Moderate,,NULL,7 (GII),NULL,NULL,NULL,S,NULL,Aleppo,37.15000000,36.21000000,0,1,Doubtful entry that appears in GII list with no specific reference of occurrence,NULL,GII,Historical
458,1898 Apr 13,1898.20000000,-,Poor,S,1,Light,,4.50000000,NULL,NULL,NULL,NULL,C-N,Beirut,Beirut,35.48000000,33.89000000,0,0,AM refers to a source abbreviated BSAF. However its citation is not clear.,BSAF xii.255 ????,AM;,Historical
